Earth,   2018-09-23T08:04:49.56,   0  0  0.0000, -00  0  0.4806,    1.003459578,  -3.86
Earth,   2018-09-24T08:04:49.56,   0 58 42.7661, -00  0  0.5410,    1.003177575,  -3.86
Earth,   2018-09-25T08:04:49.56,   1 57 27.4629, -00  0  0.6223,    1.002895826,  -3.86
Earth,   2018-09-26T08:04:49.56,   2 56 14.1538, -00  0  0.7285,    1.002614449,  -3.86
Earth,   2018-09-27T08:04:49.56,   3 55  2.9044, -00  0  0.8626,    1.002333512,  -3.86
Earth,   2018-09-28T08:04:49.56,   4 53 53.7799, -00  0  1.0261,    1.002053023,  -3.86
Earth,   2018-09-29T08:04:49.56,   5 52 46.8426, -00  0  1.2191,    1.001772932,  -3.86
Earth,   2018-09-30T08:04:49.56,   6 51 42.1484, -00  0  1.4402,    1.001493128,  -3.86
Earth,   2018-10-01T08:04:49.56,   7 50 39.7440, -00  0  1.6860,    1.001213445,  -3.86
Earth,   2018-10-02T08:04:49.56,   8 49 39.6638, -00  0  1.9517,    1.000933672,  -3.86
Earth,   2018-10-03T08:04:49.56,   9 48 41.9268, -00  0  2.2310,    1.000653564,  -3.86
Earth,   2018-10-04T08:04:49.56,  10 47 46.5350, -00  0  2.5163,    1.000372860,  -3.86
Earth,   2018-10-05T08:04:49.56,  11 46 53.4711, -00  0  2.7994,    1.000091303,  -3.86
Earth,   2018-10-06T08:04:49.56,  12 46  2.6997, -00  0  3.0722,    0.999808668,  -3.86
Earth,   2018-10-07T08:04:49.56,  13 45 14.1685, -00  0  3.3270,    0.999524787,  -3.86
Earth,   2018-10-08T08:04:49.56,  14 44 27.8126, -00  0  3.5575,    0.999239567,  -3.86
Earth,   2018-10-09T08:04:49.56,  15 43 43.5601, -00  0  3.7590,    0.998953006,  -3.86
Earth,   2018-10-10T08:04:49.56,  16 43  1.3383, -00  0  3.9291,    0.998665197,  -3.86
Earth,   2018-10-11T08:04:49.56,  17 42 21.0792, -00  0  4.0673,    0.998376313,  -3.86
Earth,   2018-10-12T08:04:49.56,  18 41 42.7238, -00  0  4.1752,    0.998086594,  -3.86
Earth,   2018-10-13T08:04:49.56,  19 41  6.2235, -00  0  4.2557,    0.997796323,  -3.86
Earth,   2018-10-14T08:04:49.56,  20 40 31.5411, -00  0  4.3129,    0.997505812,  -3.86
Earth,   2018-10-15T08:04:49.56,  21 39 58.6500, -00  0  4.3516,    0.997215384,  -3.86
Earth,   2018-10-16T08:04:49.56,  22 39 27.5326, -00  0  4.3772,    0.996925366,  -3.86
Earth,   2018-10-17T08:04:49.56,  23 38 58.1797, -00  0  4.3950,    0.996636082,  -3.86
Earth,   2018-10-18T08:04:49.56,  24 38 30.5891, -00  0  4.4109,    0.996347849,  -3.86
Earth,   2018-10-19T08:04:49.56,  25 38  4.7657, -00  0  4.4303,    0.996060980,  -3.86
Earth,   2018-10-20T08:04:49.56,  26 37 40.7209, -00  0  4.4588,    0.995775781,  -3.86
Earth,   2018-10-21T08:04:49.56,  27 37 18.4738, -00  0  4.5017,    0.995492543,  -3.86
Earth,   2018-10-22T08:04:49.56,  28 36 58.0511, -00  0  4.5637,    0.995211545,  -3.86
Earth,   2018-10-23T08:04:49.56,  29 36 39.4877, -00  0  4.6491,    0.994933039,  -3.86
Earth,   2018-10-24T08:04:49.56,  30 36 22.8264, -00  0  4.7609,    0.994657242,  -3.86
Earth,   2018-10-25T08:04:49.56,  31 36  8.1169, -00  0  4.9012,    0.994384321,  -3.86
Earth,   2018-10-26T08:04:49.56,  32 35 55.4136, -00  0  5.0702,    0.994114383,  -3.86
Earth,   2018-10-27T08:04:49.56,  33 35 44.7723, -00  0  5.2666,    0.993847461,  -3.86
Earth,   2018-10-28T08:04:49.56,  34 35 36.2457, -00  0  5.4870,    0.993583516,  -3.86
Earth,   2018-10-29T08:04:49.56,  35 35 29.8796, -00  0  5.7263,    0.993322434,  -3.86
Earth,   2018-10-30T08:04:49.56,  36 35 25.7080, -00  0  5.9782,    0.993064038,  -3.86
Earth,   2018-10-31T08:04:49.56,  37 35 23.7502, -00  0  6.2351,    0.992808102,  -3.86
Earth,   2018-11-01T08:04:49.56,  38 35 24.0083, -00  0  6.4889,    0.992554371,  -3.86
Earth,   2018-11-02T08:04:49.56,  39 35 26.4661, -00  0  6.7318,    0.992302580,  -3.86
Earth,   2018-11-03T08:04:49.56,  40 35 31.0895, -00  0  6.9564,    0.992052480,  -3.86
Earth,   2018-11-04T08:04:49.56,  41 35 37.8274, -00  0  7.1563,    0.991803852,  -3.86
Earth,   2018-11-05T08:04:49.56,  42 35 46.6145, -00  0  7.3271,    0.991556532,  -3.86
Earth,   2018-11-06T08:04:49.56,  43 35 57.3749, -00  0  7.4657,    0.991310422,  -3.86
Earth,   2018-11-07T08:04:49.56,  44 36 10.0267, -00  0  7.5713,    0.991065496,  -3.86
Earth,   2018-11-08T08:04:49.56,  45 36 24.4862, -00  0  7.6449,    0.990821806,  -3.86
Earth,   2018-11-09T08:04:49.56,  46 36 40.6720, -00  0  7.6891,    0.990579471,  -3.86
Earth,   2018-11-10T08:04:49.56,  47 36 58.5084, -00  0  7.7078,    0.990338667,  -3.86
Earth,   2018-11-11T08:04:49.56,  48 37 17.9271, -00  0  7.7058,    0.990099615,  -3.86
Earth,   2018-11-12T08:04:49.56,  49 37 38.8681, -00  0  7.6885,    0.989862567,  -3.86
Earth,   2018-11-13T08:04:49.56,  50 38  1.2797, -00  0  7.6616,    0.989627797,  -3.86
Earth,   2018-11-14T08:04:49.56,  51 38 25.1177, -00  0  7.6310,    0.989395589,  -3.86
Earth,   2018-11-15T08:04:49.56,  52 38 50.3455, -00  0  7.6024,    0.989166236,  -3.86
Earth,   2018-11-16T08:04:49.56,  53 39 16.9330, -00  0  7.5812,    0.988940039,  -3.86
Earth,   2018-11-17T08:04:49.56,  54 39 44.8572, -00  0  7.5727,    0.988717300,  -3.86
Earth,   2018-11-18T08:04:49.56,  55 40 14.1026, -00  0  7.5817,    0.988498325,  -3.86
Earth,   2018-11-19T08:04:49.56,  56 40 44.6619, -00  0  7.6126,    0.988283420,  -3.86
Earth,   2018-11-20T08:04:49.56,  57 41 16.5378, -00  0  7.6687,    0.988072887,  -3.86
Earth,   2018-11-21T08:04:49.56,  58 41 49.7435, -00  0  7.7524,    0.987867008,  -3.86
Earth,   2018-11-22T08:04:49.56,  59 42 24.3037, -00  0  7.8645,    0.987666036,  -3.86
Earth,   2018-11-23T08:04:49.56,  60 43  0.2536, -00  0  8.0041,    0.987470170,  -3.86
Earth,   2018-11-24T08:04:49.56,  61 43 37.6363, -00  0  8.1683,    0.987279539,  -3.86
Earth,   2018-11-25T08:04:49.56,  62 44 16.4988, -00  0  8.3520,    0.987094188,  -3.86
Earth,   2018-11-26T08:04:49.56,  63 44 56.8856, -00  0  8.5486,    0.986914067,  -3.86
Earth,   2018-11-27T08:04:49.56,  64 45 38.8328, -00  0  8.7500,    0.986739036,  -3.86
Earth,   2018-11-28T08:04:49.56,  65 46 22.3630, -00  0  8.9479,    0.986568885,  -3.86
Earth,   2018-11-29T08:04:49.56,  66 47  7.4814, -00  0  9.1337,    0.986403353,  -3.86
Earth,   2018-11-30T08:04:49.56,  67 47 54.1747, -00  0  9.3000,    0.986242153,  -3.86
Earth,   2018-12-01T08:04:49.56,  68 48 42.4111, -00  0  9.4405,    0.986084999,  -3.86
Earth,   2018-12-02T08:04:49.56,  69 49 32.1421, -00  0  9.5505,    0.985931624,  -3.86
Earth,   2018-12-03T08:04:49.56,  70 50 23.3046, -00  0  9.6273,    0.985781796,  -3.86
Earth,   2018-12-04T08:04:49.56,  71 51 15.8238, -00  0  9.6697,    0.985635329,  -3.86
Earth,   2018-12-05T08:04:49.56,  72 52  9.6164, -00  0  9.6786,    0.985492095,  -3.86
Earth,   2018-12-06T08:04:49.56,  73 53  4.5936, -00  0  9.6563,    0.985352021,  -3.86
Earth,   2018-12-07T08:04:49.56,  74 54  0.6644, -00  0  9.6065,    0.985215096,  -3.86
Earth,   2018-12-08T08:04:49.56,  75 54 57.7382, -00  0  9.5339,    0.985081364,  -3.86
Earth,   2018-12-09T08:04:49.56,  76 55 55.7273, -00  0  9.4440,    0.984950919,  -3.86
Earth,   2018-12-10T08:04:49.56,  77 56 54.5485, -00  0  9.3426,    0.984823896,  -3.86
Earth,   2018-12-11T08:04:49.56,  78 57 54.1242, -00  0  9.2358,    0.984700465,  -3.86
Earth,   2018-12-12T08:04:49.56,  79 58 54.3829, -00  0  9.1295,    0.984580822,  -3.86
Earth,   2018-12-13T08:04:49.56,  80 59 55.2592, -00  0  9.0294,    0.984465187,  -3.86
Earth,   2018-12-14T08:04:49.56,  82  0 56.6942, -00  0  8.9409,    0.984353793,  -3.86
Earth,   2018-12-15T08:04:49.56,  83  1 58.6349, -00  0  8.8689,    0.984246891,  -3.86
Earth,   2018-12-16T08:04:49.56,  84  3  1.0355, -00  0  8.8178,    0.984144748,  -3.86
Earth,   2018-12-17T08:04:49.56,  85  4  3.8579, -00  0  8.7910,    0.984047643,  -3.86
Earth,   2018-12-18T08:04:49.56,  86  5  7.0731, -00  0  8.7913,    0.983955866,  -3.86
Earth,   2018-12-19T08:04:49.56,  87  6 10.6634, -00  0  8.8200,    0.983869716,  -3.86
Earth,   2018-12-20T08:04:49.56,  88  7 14.6246, -00  0  8.8771,    0.983789481,  -3.86
Earth,   2018-12-21T08:04:49.56,  89  8 18.9671, -00  0  8.9604,    0.983715429,  -3.86
Earth,   2018-12-22T08:04:49.56,  90  9 23.7156, -00  0  9.0657,    0.983647774,  -3.86
Earth,   2018-12-23T08:04:49.56,  91 10 28.9072, -00  0  9.1868,    0.983586654,  -3.86
Earth,   2018-12-24T08:04:49.56,  92 11 34.5852, -00  0  9.3156,    0.983532107,  -3.86
Earth,   2018-12-25T08:04:49.56,  93 12 40.7921, -00  0  9.4429,    0.983484062,  -3.86
Earth,   2018-12-26T08:04:49.56,  94 13 47.5616, -00  0  9.5595,    0.983442342,  -3.86
Earth,   2018-12-27T08:04:49.56,  95 14 54.9121, -00  0  9.6569,    0.983406692,  -3.86
Earth,   2018-12-28T08:04:49.56,  96 16  2.8436, -00  0  9.7281,    0.983376803,  -3.86
Earth,   2018-12-29T08:04:49.56,  97 17 11.3364, -00  0  9.7681,    0.983352345,  -3.86
Earth,   2018-12-30T08:04:49.56,  98 18 20.3533, -00  0  9.7737,    0.983332995,  -3.86
Earth,   2018-12-31T08:04:49.56,  99 19 29.8413, -00  0  9.7440,    0.983318450,  -3.86
Earth,   2019-01-01T08:04:49.56, 100 20 39.7353, -00  0  9.6796,    0.983308444,  -3.86
Earth,   2019-01-02T08:04:49.56, 101 21 49.9604, -00  0  9.5829,    0.983302751,  -3.86
Earth,   2019-01-03T08:04:49.56, 102 23  0.4347, -00  0  9.4574,    0.983301191,  -3.86
Earth,   2019-01-04T08:04:49.56, 103 24 11.0713, -00  0  9.3077,    0.983303630,  -3.86
Earth,   2019-01-05T08:04:49.56, 104 25 21.7806, -00  0  9.1392,    0.983309981,  -3.86
Earth,   2019-01-06T08:04:49.56, 105 26 32.4722, -00  0  8.9577,    0.983320203,  -3.86
Earth,   2019-01-07T08:04:49.56, 106 27 43.0561, -00  0  8.7693,    0.983334296,  -3.86
Earth,   2019-01-08T08:04:49.56, 107 28 53.4447, -00  0  8.5801,    0.983352303,  -3.86
Earth,   2019-01-09T08:04:49.56, 108 30  3.5537, -00  0  8.3960,    0.983374298,  -3.86
Earth,   2019-01-10T08:04:49.56, 109 31 13.3026, -00  0  8.2226,    0.983400391,  -3.86
Earth,   2019-01-11T08:04:49.56, 110 32 22.6160, -00  0  8.0648,    0.983430718,  -3.86
Earth,   2019-01-12T08:04:49.56, 111 33 31.4234, -00  0  7.9272,    0.983465442,  -3.86
Earth,   2019-01-13T08:04:49.56, 112 34 39.6602, -00  0  7.8132,    0.983504751,  -3.86
Earth,   2019-01-14T08:04:49.56, 113 35 47.2686, -00  0  7.7258,    0.983548856,  -3.86
Earth,   2019-01-15T08:04:49.56, 114 36 54.1986, -00  0  7.6666,    0.983597993,  -3.86
Earth,   2019-01-16T08:04:49.56, 115 38  0.4100, -00  0  7.6359,    0.983652422,  -3.86
Earth,   2019-01-17T08:04:49.56, 116 39  5.8753, -00  0  7.6327,    0.983712416,  -3.86
Earth,   2019-01-18T08:04:49.56, 117 40 10.5821, -00  0  7.6539,    0.983778256,  -3.86
Earth,   2019-01-19T08:04:49.56, 118 41 14.5355, -00  0  7.6944,    0.983850204,  -3.86
Earth,   2019-01-20T08:04:49.56, 119 42 17.7585, -00  0  7.7470,    0.983928475,  -3.86
Earth,   2019-01-21T08:04:49.56, 120 43 20.2895, -00  0  7.8030,    0.984013208,  -3.86
Earth,   2019-01-22T08:04:49.56, 121 44 22.1768, -00  0  7.8528,    0.984104430,  -3.86
Earth,   2019-01-23T08:04:49.56, 122 45 23.4694, -00  0  7.8868,    0.984202051,  -3.86
Earth,   2019-01-24T08:04:49.56, 123 46 24.2081, -00  0  7.8968,    0.984305865,  -3.86
Earth,   2019-01-25T08:04:49.56, 124 47 24.4188, -00  0  7.8766,    0.984415579,  -3.86
Earth,   2019-01-26T08:04:49.56, 125 48 24.1085, -00  0  7.8222,    0.984530846,  -3.86
Earth,   2019-01-27T08:04:49.56, 126 49 23.2648, -00  0  7.7321,    0.984651299,  -3.86
Earth,   2019-01-28T08:04:49.56, 127 50 21.8585, -00  0  7.6069,    0.984776576,  -3.86
Earth,   2019-01-29T08:04:49.56, 128 51 19.8463, -00  0  7.4489,    0.984906338,  -3.86
Earth,   2019-01-30T08:04:49.56, 129 52 17.1736, -00  0  7.2617,    0.985040276,  -3.86
Earth,   2019-01-31T08:04:49.56, 130 53 13.7778, -00  0  7.0498,    0.985178118,  -3.86
Earth,   2019-02-01T08:04:49.56, 131 54  9.5898, -00  0  6.8186,    0.985319629,  -3.86
Earth,   2019-02-02T08:04:49.56, 132 55  4.5357, -00  0  6.5737,    0.985464609,  -3.86
Earth,   2019-02-03T08:04:49.56, 133 55 58.5384, -00  0  6.3213,    0.985612898,  -3.86
Earth,   2019-02-04T08:04:49.56, 134 56 51.5185, -00  0  6.0674,    0.985764371,  -3.86
Earth,   2019-02-05T08:04:49.56, 135 57 43.3955, -00  0  5.8178,    0.985918944,  -3.86
Earth,   2019-02-06T08:04:49.56, 136 58 34.0892, -00  0  5.5782,    0.986076566,  -3.86
Earth,   2019-02-07T08:04:49.56, 137 59 23.5204, -00  0  5.3537,    0.986237227,  -3.86
Earth,   2019-02-08T08:04:49.56, 139  0 11.6122, -00  0  5.1488,    0.986400951,  -3.86
Earth,   2019-02-09T08:04:49.56, 140  0 58.2910, -00  0  4.9673,    0.986567800,  -3.86
Earth,   2019-02-10T08:04:49.56, 141  1 43.4875, -00  0  4.8118,    0.986737866,  -3.86
Earth,   2019-02-11T08:04:49.56, 142  2 27.1373, -00  0  4.6842,    0.986911278,  -3.86
Earth,   2019-02-12T08:04:49.56, 143  3  9.1830, -00  0  4.5851,    0.987088200,  -3.86
Earth,   2019-02-13T08:04:49.56, 144  3 49.5754, -00  0  4.5136,    0.987268826,  -3.86
Earth,   2019-02-14T08:04:49.56, 145  4 28.2756, -00  0  4.4674,    0.987453383,  -3.86
Earth,   2019-02-15T08:04:49.56, 146  5  5.2586, -00  0  4.4426,    0.987642124,  -3.86
Earth,   2019-02-16T08:04:49.56, 147  5 40.5157, -00  0  4.4332,    0.987835310,  -3.86
Earth,   2019-02-17T08:04:49.56, 148  6 14.0575, -00  0  4.4319,    0.988033195,  -3.86
Earth,   2019-02-18T08:04:49.56, 149  6 45.9143, -00  0  4.4298,    0.988235989,  -3.86
Earth,   2019-02-19T08:04:49.56, 150  7 16.1342, -00  0  4.4175,    0.988443825,  -3.86
Earth,   2019-02-20T08:04:49.56, 151  7 44.7765, -00  0  4.3861,    0.988656727,  -3.86
